time,PriceUSD,daily_allocation_usd,daily_btc_purchase,cumulative_usd_strategy,cumulative_btc_strategy,cumulative_usd_dca,cumulative_btc_dca,spd_strategy,spd_dca,spd_improvement
2019-01-01,3808.11783167738,55.95001085734862,0.01469230032535628,55.95001085734862,0.01469230032535628,100.0,0.02625969164298483,26259.691642984828,26259.69164298483,-3.637978807091713e-12
2019-01-02,3898.1974880187,58.160018568474946,0.014919720908761704,114.11002942582357,0.029612021234117984,200.0,0.05191257359864636,25950.41065462793,25956.286799323178,-5.876144695248513
2019-01-03,3784.38863471654,300.0,0.079273042215568,414.11002942582354,0.10888506344968599,300.0,0.07833692100383569,26293.7518322506,26112.30700127856,181.4448309720392
2019-01-04,3827.52459438925,220.9685116904172,0.05773144136404345,635.0785411162408,0.16661650481372944,400.0,0.10446346768797445,26235.574661502065,26115.86692199361,119.70773950845614
2019-01-05,3798.61395499708,45.154305657488585,0.011887047800181974,680.2328467737294,0.17850355261391143,500.0,0.13078885931363568,26241.536770906376,26157.771862727135,83.76490817924059
2019-01-06,4045.99377498539,50.809709735302064,0.012558029636485425,731.0425565090314,0.19106158225039685,600.0,0.15550466600079776,26135.493829904884,25917.444333466294,218.04949643859072
2019-01-07,4001.01827819988,60.29552316605054,0.01507004441708735,791.338079675082,0.2061316266674842,700.0,0.18049830338177758,26048.49077301075,25785.471911682514,263.0188613282371
2019-01-08,3992.6227893045,100.8836616234545,0.025267516353837186,892.2217412985365,0.23139914302132136,800.0,0.20554449614205575,25935.16076895233,25693.06201775697,242.09875119536082
2019-01-09,4004.25903565167,109.748093155639,0.027407840546404147,1001.9698344541755,0.2588069835677255,900.0,0.23051790548187523,25829.81789154471,25613.100609097248,216.7172824474619
2019-01-10,3627.90345002922,102.85915336674556,0.028352230091988007,1104.8289878209212,0.28715921365971353,1000.0,0.25808203484127,25991.281621428494,25808.203484127,183.07813730149428
2019-01-11,3624.16142109877,111.07623971279696,0.03064881135430247,1215.905227533718,0.317808025014016,1100.0,0.2856746247898938,26137.565479395304,25970.420435444892,167.1450439504115
2019-01-12,3617.02207831677,300.0,0.08294115808649115,1515.905227533718,0.40074918310050717,1200.0,0.31332167748539086,26436.295344960366,26110.139790449237,326.1555545111296
2019-01-13,3508.6701081239,300.0,0.08550248121229363,1815.905227533718,0.4862516643128008,1300.0,0.3418225045561554,26777.3701479568,26294.038812011957,483.3313359448439
2019-01-14,3666.94519374635,146.462900390107,0.039941393353761186,1962.368127923825,0.526193057666562,1400.0,0.3690931602972178,26814.186909123488,26363.797164086987,450.38974503650024
2019-01-15,3581.29301548802,177.8448775259449,0.04965940423104701,2140.21300544977,0.575852461897609,1500.0,0.3970160360763093,26906.315419599665,26467.73573842062,438.579681179046
2019-01-16,3606.98657568673,153.20463261481402,0.04247441164530688,2293.417638064584,0.6183268735429158,1600.0,0.4247400095099951,26960.93652025464,26546.25059437469,414.6859258799486
2019-01-17,3640.12913062536,300.0,0.08241465872076388,2593.417638064584,0.7007415322636797,1700.0,0.45221156241691635,27020.00333377193,26600.68014217155,419.3231916003788
2019-01-18,3609.42673611923,109.28907796929164,0.030278791054447793,2702.7067160338756,0.7310203233181275,1800.0,0.47991679300085044,27047.711798743498,26662.044055602804,385.66774314069335
2019-01-19,3687.30196113384,171.86789948107273,0.04661074717846639,2874.574615514948,0.7776310704965939,1900.0,0.5070368935659938,27052.03984963493,26686.152292947045,365.8875566878851
2019-01-20,3538.31372296903,207.8316839691134,0.058737494818497896,3082.4062994840615,0.8363685653150917,2000.0,0.5352989437484997,27133.624968748754,26764.947187424987,368.6777813237677
2019-01-21,3535.623393045,300.0,0.08485066610604976,3382.4062994840615,0.9212192314211415,2100.0,0.563582499117183,27235.617186547355,26837.261862722997,398.3553238243585
2019-01-22,3577.30834979544,30.504396545810113,0.008527192392446247,3412.910696029872,0.9297464238135877,2200.0,0.5915364774220496,27242.037856282954,26888.021701002257,354.0161552806967
2019-01-23,3551.89382115722,22.44628989805562,0.006319527279884323,3435.3569859279273,0.936065951093472,2300.0,0.6196904721739027,27247.99649433319,26943.064007560988,304.93248677220254
2019-01-24,3567.58893366452,41.65536313003388,0.011676054586044121,3477.0123490579613,0.9477420056795162,2400.0,0.6477206073322387,27257.366685404242,26988.358638843278,269.00804656096443
2019-01-25,3561.35049795441,46.29215428660251,0.012998483107234763,3523.3045033445637,0.9607404887867509,2500.0,0.6757998430203404,27268.165095431,27031.993720813614,236.17137461738457
2019-01-26,3557.03991525424,27.148121118807666,0.0076322227935604284,3550.452624463371,0.9683727115803114,2600.0,0.7039131064029506,27274.62704073329,27073.5810154981,201.0460252351877
2019-01-27,3537.61413062536,300.0,0.08480291770741194,3850.452624463371,1.0531756292877232,2700.0,0.7321807456387546,27351.995518565873,27117.805394027946,234.19012453792675
2019-01-28,3435.05251402689,254.54089814618675,0.074101020903401,4104.993522609558,1.1272766501911242,2800.0,0.7612923820960298,27461.1066736717,27189.013646286778,272.0930273849226
2019-01-29,3395.82376329632,300.0,0.08834380725011198,4404.993522609558,1.2156204574412361,2900.0,0.7907403178460671,27596.418728014192,27266.907511933347,329.51121608084577
2019-01-30,3437.89586616014,300.0,0.08726267800981316,4704.993522609558,1.3028831354510493,3000.0,0.8198278771826715,27691.496899838952,27327.59590608905,363.90099374990314
2019-01-31,3410.13161601403,300.0,0.08797314408370499,5004.993522609558,1.3908562795347543,3100.0,0.8491522585439064,27789.37221899889,27392.008340126013,397.36387887287856
2019-02-01,3445.04989129164,42.996594134411446,0.012480688376414452,5047.990116743969,1.4033369679111687,3200.0,0.8781794143632689,27799.91512377093,27443.106698852152,356.80842491877775
2019-02-02,3461.93511747516,144.24660997279827,0.04166646834155559,5192.236726716767,1.4450034362527242,3300.0,0.9070649932683211,27830.076175406786,27486.817977827915,343.25819757887075
2019-02-03,3413.02161630625,203.9925122556483,0.05976888961999006,5396.229238972415,1.5047723258727144,3400.0,0.9363645440013825,27885.626411217152,27540.133647099483,345.49276411766914
2019-02-04,3411.38796171829,300.0,0.08794074534075927,5696.229238972415,1.5927130712134736,3500.0,0.9656781257816356,27960.83170804402,27590.80359376102,370.02811428300265
2019-02-05,3426.46501139684,151.3522594080679,0.04417154674121926,5847.581498380483,1.636884617954693,3600.0,0.994862722637984,27992.506276450124,27635.07562883289,357.4306476172351
2019-02-06,3367.50636499123,154.20654039271383,0.045792501536404795,6001.788038773197,1.6826771194910979,3700.0,1.0245582864057634,28036.263670435248,27690.764497453067,345.49917298218134
2019-02-07,3358.87359906487,45.14556355431934,0.01344068546279566,6046.933602327516,1.6961178049538936,3800.0,1.0543301718461207,28049.2215806875,27745.530838055805,303.69074263169387
2019-02-08,3612.47961922852,248.55892191772804,0.0688056260842823,6295.492524245245,1.7649234310381758,3900.0,1.0820119889192799,28034.715699225922,27743.897151776408,290.8185474495149
2019-02-09,3621.26812098188,50.258986604899846,0.013878836066762296,6345.751510850145,1.7788022671049382,4000.0,1.1096266246377988,28031.388623766496,27740.66561594497,290.72300782152524
2019-02-10,3642.0223591467,300.0,0.08237181719836774,6645.751510850145,1.861174084303306,4100.0,1.1370838970372548,28005.47208640997,27733.753586274506,271.7185001354628
2019-02-11,3590.6184836353,112.07692007422312,0.031213820288907866,6757.828430924368,1.8923879045922138,4200.0,1.1649342521935497,28002.8995103293,27736.529814132136,266.36969619716183
2019-02-12,3587.90246580947,70.30868140092029,0.01959604032465188,6828.137112325288,1.9119839449168656,4300.0,1.1928056898797577,28001.545860372287,27739.66720650599,261.8786538662971
2019-02-13,3576.08537258913,300.0,0.08389061466471542,7128.137112325288,1.995874559581581,4400.0,1.2207692281013294,27999.94624304444,27744.75518412112,255.19105892331936
2019-02-14,3561.91638340152,110.50267024242598,0.031023375719140087,7238.639782567714,2.0268979353007213,4500.0,1.2488440028113699,28001.088549563567,27752.088951363774,248.99959819979267
2019-02-15,3565.00692372881,44.48714000581971,0.012478836916055272,7283.126922573534,2.0393767722167766,4600.0,1.276894439217088,28001.38997847028,27758.57476558887,242.81521288141084
2019-02-16,3584.73600263004,300.0,0.08368817111773273,7583.126922573534,2.1230649433345095,4700.0,1.3047904962563321,27997.22284766917,27761.49992034749,235.7229273216799
2019-02-17,3622.7574289889,91.94805520507458,0.025380682258579205,7675.074977778609,2.1484456255930886,4800.0,1.3323937796558254,27992.503419359582,27758.203742829694,234.29967652988853
2019-02-18,3866.12921712449,70.6132575001918,0.018264588050347634,7745.688235278801,2.1667102136434364,4900.0,1.358259443834111,27973.114174346152,27719.580486410425,253.53368793572736
2019-02-19,3895.43521098773,105.12481976035866,0.026986668771652633,7850.81305503916,2.193696882415089,5000.0,1.3839305164059081,27942.289123889306,27678.610328118164,263.6787957711422
2019-02-20,3931.61382904734,300.0,0.07630454389583127,8150.81305503916,2.2700014263109205,5100.0,1.4093653643711852,27849.999883232686,27634.6149876703,215.3848955623871
2019-02-21,3892.26179427236,300.0,0.07707600769338374,8450.81305503916,2.347077434004304,5200.0,1.4350573669356463,27773.39196498683,27597.257056454735,176.1349085320944
